,name,state,population,poverty_%,la_kids_%,la_novehicle_%,la_snap_%,fips
95,Assumption Parish,LA,23421,17.18,23.12,2.43,5.56,22007
96,Atascosa County,TX,44911,15.19,25.56,2.0,4.96,48013
97,Atchison County,KS,16924,17.04,20.93,2.12,2.98,20005
98,Atchison County,MO,5685,10.39,16.71,1.65,3.17,29005
99,Athens County,OH,64757,36.98,14.16,2.4,6.02,39009
100,Atkinson County,GA,8375,29.33,27.2,2.85,7.3,13003
101,Atlantic County,NJ,274549,14.18,17.1,2.85,3.43,34001
102,Atoka County,OK,14182,19.73,19.64,1.74,5.8,40005
103,Attala County,MS,19564,23.67,23.65,3.39,7.67,28007
104,Audrain County,MO,25529,15.4,21.78,1.89,3.2,29007
105,Audubon County,IA,6119,10.12,19.48,1.39,3.07,19009
106,Auglaize County,OH,45949,8.7,19.52,1.48,2.09,39011
107,Augusta County,VA,73750,9.44,19.88,1.53,2.66,51015
108,Aurora County,SD,2710,7.34,24.02,0.48,1.73,46003
109,Austin County,TX,28417,10.9,22.02,1.41,2.85,48015
110,Autauga County,AL,54571,15.14,24.34,1.91,4.28,1001
111,Avery County,NC,17797,14.13,16.78,1.33,5.05,37011
112,Avoyelles Parish,LA,42073,24.53,23.05,2.8,7.08,22009
113,Baca County,CO,3788,19.51,14.63,1.29,3.88,8009
114,Bacon County,GA,11096,27.21,24.47,2.01,6.48,13005
115,Bailey County,TX,7165,14.51,21.34,0.99,3.6,48017
116,Baker County,FL,27115,14.59,24.72,0.55,5.54,12003
117,Baker County,GA,3451,21.55,23.21,3.22,4.38,13007
118,Baker County,OR,16134,15.42,16.94,2.34,6.68,41001
119,Baldwin County,AL,182265,10.95,21.0,1.19,2.76,1003
120,Baldwin County,GA,45720,27.77,18.86,2.46,5.25,13009
121,Ballard County,KY,8249,17.08,19.43,2.5,4.73,21007
122,Baltimore County,MD,805029,9.95,15.06,1.52,2.38,24005
123,Baltimore city,MD,620961,21.93,10.14,4.59,4.33,24510
124,Bamberg County,SC,15987,26.28,20.51,3.24,7.32,45009
125,Bandera County,TX,20485,14.79,19.11,0.71,4.23,48019
126,Banks County,GA,18395,13.48,25.24,1.87,4.73,13011
127,Banner County,NE,690,9.65,22.32,1.01,2.46,31007
128,Bannock County,ID,82839,17.28,22.93,1.3,3.68,16005
129,Baraga County,MI,8860,16.32,17.92,1.85,5.17,26013
130,Barber County,KS,4861,15.59,14.73,1.79,2.37,20007
131,Barbour County,AL,27457,29.34,18.0,2.7,8.14,1005
132,Barbour County,WV,16589,23.2,20.37,3.06,6.26,54001
133,Barnes County,ND,11066,10.61,14.5,1.72,1.87,38003
134,Barnstable County,MA,215888,6.97,15.04,1.58,2.47,25001
135,Barnwell County,SC,22621,26.15,22.62,3.88,8.04,45011
136,Barren County,KY,42173,23.6,20.65,1.69,5.13,21009
137,Barron County,WI,45870,12.01,19.02,1.9,4.74,55005
138,Barrow County,GA,69367,12.18,25.29,0.87,4.01,13013
139,Barry County,MI,59173,8.67,22.46,1.14,3.06,26015
140,Barry County,MO,35597,20.92,22.82,1.8,5.0,29009
141,Bartholomew County,IN,76794,13.25,22.52,1.4,3.34,18005
142,Barton County,KS,27674,16.94,18.66,1.88,2.51,20009
143,Barton County,MO,12402,20.88,25.79,3.2,6.26,29011
144,Bartow County,GA,100157,13.04,25.14,1.4,4.42,13015
145,Bastrop County,TX,74171,10.08,25.09,1.38,3.74,48021
146,Bates County,MO,17049,12.39,22.87,1.7,4.78,29013
147,Bath County,KY,11591,20.91,24.45,3.55,9.04,21011
148,Bath County,VA,4731,11.29,16.21,1.14,4.1,51017
149,Baxter County,AR,41513,13.95,15.74,1.28,4.02,5005
150,Bay County,FL,168852,14.89,17.92,2.06,4.46,12005
151,Bay County,MI,107771,16.08,17.84,2.34,4.64,26017
152,Bayfield County,WI,15014,11.48,16.34,1.04,4.09,55007
153,Baylor County,TX,3726,10.93,13.29,0.75,3.89,48023
154,Beadle County,SD,17398,17.69,19.33,0.86,4.33,46005
155,Bear Lake County,ID,5986,16.9,22.47,1.15,2.12,16007
156,Beaufort County,NC,47759,19.5,19.54,2.72,6.25,37013
157,Beaufort County,SC,162233,11.38,18.92,1.6,2.33,45013
158,Beauregard Parish,LA,35654,17.18,23.74,2.05,4.13,22011
159,Beaver County,OK,5636,12.56,21.06,1.35,1.83,40007
160,Beaver County,PA,170539,11.0,17.24,2.83,4.59,42007
161,Beaver County,UT,6629,8.3,22.15,0.18,1.83,49001
162,Beaverhead County,MT,9246,16.24,15.96,1.15,2.28,30001
163,Becker County,MN,32504,12.21,23.41,1.85,3.93,27005
164,Beckham County,OK,22119,14.15,19.09,2.25,3.47,40009
165,Bedford County,PA,49762,12.75,19.66,1.78,4.72,42009
166,Bedford County,TN,45058,16.14,23.02,1.2,5.15,47003
167,Bedford County,VA,74898,9.19,20.67,1.13,2.5,51019
168,Bee County,TX,31861,19.04,19.89,1.93,4.26,48025
169,Belknap County,NH,60088,8.63,18.26,1.41,2.66,33001
170,Bell County,KY,28691,37.58,18.65,4.88,12.42,21013
171,Bell County,TX,310235,14.4,23.64,1.6,4.15,48027
172,Belmont County,OH,70400,13.17,17.37,2.41,4.4,39013
173,Beltrami County,MN,44442,18.74,22.01,1.96,4.13,27007
174,Ben Hill County,GA,17634,31.03,23.49,5.6,6.24,13017
175,Benewah County,ID,9285,15.89,18.77,1.45,4.66,16009
176,Bennett County,SD,3431,34.5,26.11,0.67,4.17,46007
177,Bennington County,VT,37125,11.3,17.17,2.53,4.4,50003
178,Benson County,ND,6660,34.12,33.57,2.72,7.03,38005
179,Bent County,CO,6499,22.89,13.49,1.94,5.77,8011
180,Benton County,AR,221339,10.22,23.74,0.9,1.76,5007
181,Benton County,IA,26076,9.19,21.21,1.04,2.1,19011
182,Benton County,IN,8854,15.93,22.0,0.76,4.35,18007
183,Benton County,MN,38451,12.7,21.31,1.94,3.31,27009
184,Benton County,MO,19056,19.22,16.05,2.58,4.82,29015
185,Benton County,MS,8729,23.4,24.39,1.18,6.52,28009
186,Benton County,OR,85579,21.36,13.8,1.22,2.82,41003
187,Benton County,TN,16489,21.38,18.61,3.08,7.67,47005
188,Benton County,WA,175177,13.42,18.16,0.92,2.9,53005
189,Benzie County,MI,17525,9.48,19.43,1.35,2.85,26019
190,Bergen County,NJ,905116,7.0,11.38,1.01,0.65,34003
191,Berkeley County,SC,177843,12.8,21.43,1.39,3.31,45015
192,Berkeley County,WV,104169,12.84,22.05,1.25,3.83,54003
193,Berks County,PA,411442,12.89,15.12,1.16,1.94,42011
194,Berkshire County,MA,131219,11.56,15.27,2.11,3.41,25003
195,Bernalillo County,NM,662564,17.7,16.33,1.38,3.7,35001
196,Berrien County,GA,19286,26.0,22.23,2.56,7.03,13019
197,Berrien County,MI,156813,16.48,19.68,2.47,4.69,26021
198,Bertie County,NC,21282,23.1,20.6,3.67,10.17,37015
199,Bethel Census Area,AK,17013,27.41,32.61,14.12,9.82,2050
200,Bexar County,TX,1714773,16.82,20.78,1.8,3.46,48029
201,Bibb County,AL,22915,13.86,21.05,1.92,3.81,1007
202,Bibb County,GA,155547,27.4,20.89,3.59,6.31,13021
203,Bienville Parish,LA,14353,29.22,21.99,5.0,9.3,22013
204,Big Horn County,MT,12865,25.93,27.77,0.91,4.35,30003
205,Big Horn County,WY,11668,12.6,18.31,0.71,1.35,56003
206,Big Stone County,MN,5269,11.35,17.69,2.22,1.99,27011
207,Billings County,ND,783,8.56,17.62,0.77,0.51,38007
208,Bingham County,ID,45607,12.61,29.16,0.61,3.44,16011
209,Black Hawk County,IA,131090,17.5,15.76,1.75,3.66,19013
210,Blackford County,IN,12766,12.41,16.4,1.91,4.32,18009
211,Bladen County,NC,35190,26.16,21.11,3.62,9.94,37017
212,Blaine County,ID,21376,13.97,19.03,0.65,1.8,16013
213,Blaine County,MT,6491,28.58,22.48,2.25,5.11,30005
214,Blaine County,NE,478,12.5,24.48,1.88,1.26,31009
215,Blaine County,OK,11943,12.59,18.81,0.98,3.87,40011
216,Blair County,PA,127089,14.69,14.08,2.11,3.91,42013
217,Blanco County,TX,10497,9.55,19.86,1.34,1.96,48031
218,Bland County,VA,6824,8.43,17.25,1.64,3.59,51021
219,Bleckley County,GA,13063,21.23,22.08,2.16,6.32,13023
220,Bledsoe County,TN,12876,20.41,20.36,1.92,9.38,47007
221,Blount County,AL,57322,14.62,23.7,1.43,3.42,1009
222,Blount County,TN,123010,11.74,20.09,1.27,3.95,47009
223,Blue Earth County,MN,64013,19.4,17.04,2.02,2.7,27013
224,Boise County,ID,7028,13.13,20.82,1.52,3.81,16015
225,Bolivar County,MS,34145,34.64,23.37,4.28,9.92,28011
226,Bollinger County,MO,12363,17.09,22.24,1.52,5.73,29017
227,Bon Homme County,SD,7070,10.43,17.41,1.5,2.11,46009
228,Bond County,IL,17768,15.16,17.97,1.83,3.13,17005
229,Bonner County,ID,40877,14.79,18.41,1.49,3.51,16017
230,Bonneville County,ID,104234,12.52,24.77,1.17,3.18,16019
231,Boone County,AR,36903,14.88,20.17,1.56,5.0,5009
232,Boone County,IA,26306,7.99,17.44,0.96,2.56,19015
233,Boone County,IL,54165,11.24,24.57,0.96,3.48,17007
234,Boone County,IN,56640,5.65,23.83,0.91,1.55,18011
235,Boone County,KY,118811,7.26,25.14,0.91,1.89,21015
236,Boone County,MO,162642,19.73,17.4,1.63,2.63,29019
237,Boone County,NE,5505,6.04,17.78,1.18,1.38,31011
238,Boone County,WV,24629,24.09,21.47,4.41,10.08,54005
239,Borden County,TX,641,2.57,21.53,0.78,0.78,48033
240,Bosque County,TX,18212,14.48,19.21,0.74,3.0,48035
241,Bossier Parish,LA,116979,17.08,22.34,1.48,4.03,22015
242,Botetourt County,VA,33148,8.06,21.56,1.42,1.68,51023
243,Bottineau County,ND,6429,10.18,13.58,0.47,2.01,38009
244,Boulder County,CO,294567,12.77,15.25,0.92,1.26,8013
245,Boundary County,ID,10972,16.84,24.1,0.87,4.37,16021
246,Bourbon County,KS,15173,16.41,21.52,1.83,3.74,20011
247,Bourbon County,KY,19985,17.74,22.74,2.08,5.29,21017
248,Bowie County,TX,92565,17.4,19.93,2.0,4.06,48037
249,Bowman County,ND,3151,7.91,14.22,0.54,1.21,38011
250,Box Butte County,NE,11308,12.01,16.43,1.9,2.16,31013
251,Box Elder County,UT,49975,9.11,28.1,0.87,1.73,49003
252,Boyd County,KY,49542,19.14,17.35,2.54,5.39,21019
253,Boyd County,NE,2099,10.63,17.29,1.48,1.95,31015
254,Boyle County,KY,28432,14.89,19.25,2.34,4.72,21021
255,Bracken County,KY,8488,19.18,20.49,2.13,4.8,21023
256,Bradford County,FL,28520,20.98,18.12,2.19,5.66,12007
257,Bradford County,PA,62622,11.98,19.88,2.28,3.78,42015
258,Bradley County,AR,11508,23.38,18.59,2.64,6.2,5011
259,Bradley County,TN,98963,16.91,20.69,1.84,5.24,47011
260,Branch County,MI,45248,15.2,21.91,2.18,3.73,26023
261,Brantley County,GA,18411,24.03,25.79,1.4,7.58,13025
262,Braxton County,WV,14523,21.8,19.5,3.77,8.19,54007
263,Brazoria County,TX,313166,9.62,23.0,0.83,2.26,48039
